127.0.0.1 - - [26/Jul/2023:10:53:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:03 +0530] "GET /12-Maven-HospitalMGMT-Internal/ HTTP/1.1" 200 14231
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:03 +0530] "GET /12-Maven-HospitalMGMT-Internal/images/anonymous-dark.jpg HTTP/1.1" 200 61800
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:03 +0530] "GET /12-Maven-HospitalMGMT-Internal/images/anonymous_mask_2-wallpaper-1920x1200.jpg HTTP/1.1" 200 584849
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:03 +0530] "GET /12-Maven-HospitalMGMT-Internal/images/anonymous-quotes-wallpaper-1.jpg HTTP/1.1" 200 324858
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:03 +0530] "GET /12-Maven-HospitalMGMT-Internal/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:14 +0530] "GET /12-Maven-HospitalMGMT-Internal/gallery.jsp HTTP/1.1" 200 15370
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:14 +0530] "GET /12-Maven-HospitalMGMT-Internal/gallery/pexels-photo-450035.jpeg HTTP/1.1" 200 263266
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:14 +0530] "GET /12-Maven-HospitalMGMT-Internal/gallery/apple-apple-devices-business-205316.jpg HTTP/1.1" 200 633201
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:14 +0530] "GET /12-Maven-HospitalMGMT-Internal/images/pdf.png HTTP/1.1" 200 1312106
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:54:14 +0530] "GET /12-Maven-HospitalMGMT-Internal/gallery/xlsx.png HTTP/1.1" 200 84214
